Player1 point score,Player2 point score,Predicted game winning probability (male players),Objective winning probability (male players),Predicted winning probability (female players),Objective winning probability (female players)
0,0,0.85,0.8,0.71,0.66
0,15,0.71,0.79,0.55,0.66
0,30,0.50,0.82,0.35,0.67
0,40,0.23,0.86,0.14,0.7
15,0,0.92,0.8,0.83,0.66
15,15,0.82,0.76,0.69,0.65
15,30,0.64,0.76,0.49,0.64
15,40,0.34,0.79,0.23,0.65
30,0,0.96,0.82,0.92,0.67
30,15,0.91,0.77,0.83,0.65
30,30,0.79,0.74,0.67,0.63
30,40,0.52,0.73,0.40,0.62
40,0,0.99,0.86,0.98,0.71
40,15,0.98,0.79,0.95,0.66
40,30,0.93,0.73,0.87,0.63
40,40,0.79,0.72,0.67,0.62
Ad,40,0.93,0.72,0.87,0.61
40,Ad,0.52,0.72,0.40,0.62