Player1 game score,Player2 game score,Predicted set winning probability (male players),Objective set winning probability (male players),Predicted set winning probability (female players),Objective set winning probability (female players)
0,0,0.60,0.52,0.60,0.5
0,1,0.54,0.44,0.52,0.39
0,2,0.26,0.16,0.32,0.2
0,3,0.19,0.1,0.22,0.12
0,4,0.04,0.01,0.08,0.03
0,5,0.01,0,0.03,0.01
1,0,0.82,0.8,0.76,0.72
1,1,0.59,0.52,0.60,0.49
1,2,0.53,0.44,0.50,0.38
1,3,0.22,0.14,0.28,0.18
1,4,0.14,0.08,0.17,0.11
1,5,0.02,0,0.04,0.02
2,0,0.86,0.85,0.83,0.81
2,1,0.84,0.82,0.77,0.72
2,2,0.58,0.51,0.59,0.5
2,3,0.51,0.43,0.48,0.37
2,4,0.17,0.12,0.22,0.16
2,5,0.08,0.05,0.10,0.06
3,0,0.97,0.97,0.93,0.93
3,1,0.88,0.88,0.85,0.81
3,2,0.86,0.84,0.79,0.74
3,3,0.58,0.51,0.58,0.49
3,4,0.50,0.42,0.45,0.36
3,5,0.10,0.07,0.14,0.1
4,0,0.98,0.98,0.97,0.97
4,1,0.98,0.98,0.95,0.94
4,2,0.91,0.91,0.87,0.85
4,3,0.89,0.87,0.82,0.78
4,4,0.57,0.5,0.57,0.5
4,5,0.47,0.41,0.40,0.33
5,0,1.00,1,1.00,1
5,1,0.99,0.99,0.99,0.98
5,2,0.99,0.99,0.98,0.96
5,3,0.95,0.94,0.92,0.89
5,4,0.93,0.92,0.87,0.81
5,5,0.56,0.5,0.56,0.48
5,6,0.47,0.4,0.39,0.3
6,5,0.93,0.91,0.87,0.83
6,6,0.55,0.49,0.55,0.46